,first_accuracy,first_wait,delayed,cancelled
550,513.0,16031.0,0,0
551,75.0,0.0,0,0
552,406.0,1360.0,0,0
553,,,0,0
554,,,0,0
555,-122.0,1743.0,0,0
556,,,0,0
557,-423.0,326.0,0,0
558,-68.0,372.0,0,0
559,397.0,0.0,0,0
560,15.0,354.0,0,0
561,59.0,8.0,0,0
562,-192.0,0.0,0,0
563,,,0,0
564,-138.0,107.0,1,0
565,,,0,0
566,-16.0,122.0,0,0
567,78.0,1308.0,0,0
568,278.0,249.0,0,0
569,-131.0,0.0,0,0
570,-55.0,42.0,1,0
571,217.0,1119.0,0,0
572,,,0,0
573,536.0,0.0,0,0
574,-28.0,0.0,0,0
575,49.0,0.0,0,0
576,,,0,0
577,1587.0,438.0,0,0
578,-126.0,0.0,0,0
579,-43.0,191.0,0,0
580,-6.0,0.0,1,0
581,-23.0,294.0,0,0
582,-30.0,0.0,0,0
583,996.0,186.0,0,0
584,-2.0,435.0,0,0
585,,,0,0
586,402.0,190.0,0,0
587,-64.0,1271.0,0,0
588,-140.0,349.0,0,0
589,,,0,0
590,-110.0,974.0,1,0
591,86.0,0.0,0,0
592,,,0,0
593,85.0,130.0,0,0
594,-181.0,0.0,0,0
595,-162.0,917.0,1,0
596,150.0,1955.0,0,0
597,,,0,0
598,-139.0,331.0,0,0
599,,,0,0
600,30.0,1000.0,0,0
601,-572.0,716.0,0,0
602,-357.0,410.0,0,1
603,272.0,0.0,0,0
604,-100.0,474.0,0,0
605,-66.0,724.0,0,0
606,-210.0,590.0,0,0
607,-63.0,528.0,1,0
608,-122.0,441.0,0,0
609,,,0,0
610,,,0,0
611,221.0,925.0,0,0
612,-22.0,83.0,0,0
613,-56.0,0.0,0,0
614,1392.0,3032.0,0,1
615,91.0,566.0,1,0
616,,,0,0
617,1324.0,74.0,0,0
618,1637.0,861.0,0,0
619,-36.0,11.0,1,0
620,,,1,0
621,,,0,0
622,-74.0,88.0,0,0
623,,,0,0
624,-150.0,58.0,0,0
625,-2.0,0.0,0,0
626,400.0,0.0,0,0
627,4468.0,402.0,0,0
628,,,0,0
629,-80.0,45.0,0,0
630,94.0,121.0,0,0
631,-30.0,211.0,1,0
632,-132.0,454.0,0,0
633,-62.0,61.0,0,0
634,,,0,0
635,-52.0,177.0,0,0
636,19.0,68.0,0,0
637,,,0,0
638,103.0,0.0,0,0
639,7830.0,1125.0,0,1
640,71.0,0.0,0,1
641,,,0,0
